library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,0,329697,260450,3897214,3973101,0.7749,0.7749
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,1,329697,260450,5268631,5328219,0.7811,0.7811
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,2,329697,260450,4186141,4194961,0.7883,0.7883
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,3,329697,260450,2243467,2228454,0.7953,0.7953
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,4,329697,260450,1473608,1462079,0.7962,0.7962
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,0,7821989,260450,775410,3973101,0.006498,0.006498
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,1,7821989,260450,1806828,5328219,0.01129,0.01129
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,2,7821989,260450,2028791,4194961,0.0161,0.0161
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,3,7821989,260450,1738715,2228454,0.02598,0.02598
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,4,7821989,260450,2234133,1462079,0.05088,0.05088
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,0,7232593,260450,776988,3973101,0.007042,0.007042
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,1,7232593,260450,2049010,5328219,0.01385,0.01385
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,2,7232593,260450,2240984,4194961,0.01924,0.01924
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,3,7232593,260450,1934838,2228454,0.03127,0.03127
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,4,7232593,260450,2406805,1462079,0.05928,0.05928
